product_id,review_n,category,product_name_clean,Q_mass_total,Q_pos_product,E_mass_total,E_pos_product,S_mass_total,S_pos_product
PRD_0049,24,에센스/세럼/앰플,수이스킨 하얀 자작나무 수액 앰플 35ml,18.271718542384413,0.7947564681203113,8.890847080417316,0.8397306672331596,6.837434377198273,0.8728988460017199
PRD_0050,983,에센스/세럼/앰플,[트러블모공] 디오디너리 나이아신아마이드 10% + 징크 1% 30ml,1334.323738296494,0.5891058392659948,382.7883849793159,0.67708036771786,206.88787672419,0.6993192527492773
PRD_0051,80,에센스/세럼/앰플,잇츠스킨 파워 10 포뮬라 엘아이 이펙터 감초줄렌 30ml(AD),72.93705430971606,0.780017118274076,38.87349652063757,0.785307767573626,27.18944916964637,0.8391670857347445
PRD_0053,489,에센스/세럼/앰플,믹순 순디 병풀 에센스 100ml,379.6439067306465,0.7598234195362051,192.80761411343545,0.7764811164464217,140.54847915591807,0.8476368182760083
PRD_0054,12,에센스/세럼/앰플,[수분결광] 믹순 콩 에센스 50ml,14.180884597021455,0.6755100933010065,5.562700027101057,0.7367436272652249,3.2564153758774883,0.7925669474495802
PRD_0055,116,에센스/세럼/앰플,믹순 갈락토미세스 발효 에센스 100ml,94.23405187591698,0.763118057187343,57.15451037954152,0.7552913846042496,34.61143774454152,0.8226580010949442
PRD_0056,566,스킨/토너,[화해1위 3관왕] 에스네이처 아쿠아 오아시스 토너 300ml,534.2726726124248,0.8316816375436217,194.858059483676,0.8237234172045913,100.8692679038993,0.850359602072805
PRD_0057,9551,에센스/세럼/앰플,[트러블모공] 디오디너리 나이아신아마이드 10% + 징크 1% 60ml,7237.220851984115,0.7132183915133375,3595.2321945717385,0.7841352520735952,2782.546953444146,0.8472435982526779
PRD_0058,22,크림,빌리프 스트레스 슈터 시카 밤 크림 50ml,16.503347780342427,0.7701702911202688,11.01993886580118,0.8235586733306711,8.476713353856393,0.8436387311640072
PRD_0059,1182,에센스/세럼/앰플,차앤박(CNP) 프로폴리스 트리트먼트 앰플 에센스 기획(150ml+50ml),872.7486898267159,0.843498304928413,498.4037302024441,0.8253068394909532,333.84757997084,0.8774784470255002
PRD_0060,37,스킨/토너,그레이멜린 알래스카 내추럴 토너500ml,22.18241257107543,0.8513948258809281,12.46992833423544,0.8667269864545651,11.347659094689126,0.9076651058986628
PRD_0061,20,스킨/토너,이즈앤트리 어니언 뉴페어 에센스 토너 200ml,14.546102294705248,0.7165538281986046,6.994942086322185,0.7537530233417987,6.45895561897257,0.8641968814016324
PRD_0062,101,로션,[대용량] 라운드랩 1025 독도 로션 400ml,91.48472769898504,0.859780924836627,34.179513665146125,0.8587185147481501,17.335758635868828,0.8745826273304445
PRD_0063,1,크림,스킨1004 마다가스카르 센텔라 수딩 크림 75ml,0.183470897766636,0.895,0.6867777034370134,0.8949999999999999,0.1297513987963505,0.895
PRD_0064,3881,에센스/세럼/앰플,[누적판매 1500만]스킨1004 마다가스카르 센텔라 앰플 55ml,6423.828254017558,0.8079403370546114,1733.9932851985802,0.791947497081245,982.1784607838612,0.8260726750306228
PRD_0065,2626,크림,[단독기획] 토리든 다이브인 저분자 히알루론산 크림 80ml 기획(+크림 20ml 추가증정),2155.118231364094,0.8237442404033304,773.5221648643685,0.8173892203367235,622.3596037715376,0.8818542936811213
PRD_0066,10,크림,[수분진정] 비플레인 시카테롤 크림 60ml,9.7042032809569,0.8112306202923975,3.2833846644469173,0.7744846959308173,1.0124120545961817,0.7820704341070941
PRD_0067,1256,에센스/세럼/앰플,[급속진정] 비플레인 시카테롤 앰플 30ml,970.7587296960191,0.7865183395532871,397.50387799707903,0.7912957066719917,310.73739230690177,0.8558575791076841
PRD_0068,345,스킨/토너,피지오겔 레드수딩 시카밸런스 토너 200ml,239.52718353590475,0.8034994798942815,110.45615728544274,0.8234242965053657,90.01665917865253,0.8808749591371305
PRD_0069,2283,크림,[더블기획/1+1] 토리든 다이브인 히알루론산 수딩 크림 더블기획 (100ml+100ml),2552.806962175264,0.7945021545930986,716.6127245657408,0.7916887206461392,424.58031325899503,0.8315810054074073
PRD_0070,2,크림,[진정/쿨링] 닥터디퍼런트 시카 메탈 퀵 수딩 크림 50g,1.7112927994881797,0.7691113777608927,0.972849564645038,0.9220021649373872,0.3158576358667824,0.8290311923396815
PRD_0071,486,미스트/오일,차앤박(CNP) 프로폴리스 에너지 앰플 미스트 250ml,497.77560115415616,0.7714520009914799,193.1656043955377,0.775450115808227,104.05879445030612,0.8199566259175228
PRD_0072,1694,에센스/세럼/앰플,[장벽부스터/더블기획] 마녀공장 비피다 바이옴 콤플렉스 앰플 30ml 2입 기획,1210.3003367466022,0.8041733836603951,694.5180500916307,0.813042157677357,466.18161316176696,0.8644606631408962
PRD_0073,502,에센스/세럼/앰플,[7일잡티개선] 앰플엔 블레미샷 잡티앰플 50ml,529.3045501940426,0.7254548224414938,172.72911309923344,0.7535990569859738,119.96633670672394,0.8106039976195831
PRD_0074,843,에센스/세럼/앰플,[올리브영 단독기획] 믹순 콩 에센스 50ml 기획 (+병풀 에센스 20ml),795.0891680617111,0.7506369297344663,324.0748561609828,0.754989677986885,206.835975777306,0.8176072891784971
PRD_0075,3203,크림,토리든 다이브인 저분자 히알루론산 수딩 크림 100ml,3782.375579145069,0.7864324748196687,1015.019702686777,0.779089389191102,610.6047181681542,0.8248655623660739
PRD_0076,74,크림,[24시간수분잠금] 아비브 수분초 히알루론 크림 하이드레이팅 팟 80ml,54.51792437068707,0.8267480149123612,24.295660005988385,0.7886659401729171,19.18641562332455,0.8983369193331294
PRD_0077,498,스킨/토너,[증량기획] 토리든 다이브인 저분자 히알루론산 토너 300ml 기획(+100ml 추가 증정),516.1985533540151,0.7979974255513756,157.41033276718073,0.806099699298257,97.39111387880423,0.8445722014731956
PRD_0079,440,에센스/세럼/앰플,[미백잡티] 유세린 이븐래디언스 듀오 앰플 30ml,328.3101152024437,0.7554042817237774,191.2284160064408,0.7570992966752685,116.46146879111552,0.8298357906477107
PRD_0080,472,로션,[미백잡티] 유세린 이븐래디언스 모이스처라이저 50ml,353.0293382310086,0.7810729276984985,172.3358444620057,0.7761095599428861,120.63481730698572,0.8389788068197999
PRD_0081,494,크림,[속건조/진정보습] 닥터지 레드 블레미쉬 클리어 모이스처 크림 70ml 기획 (+30ml 증정),597.1598049728642,0.7821869874686506,135.21569488706757,0.7554608525671052,89.62450014006822,0.8185566489680469
PRD_0082,277,스킨/토너,[진정보습] 닥터지 레드 블레미쉬 클리어 모이스처 토너 증정 기획 (토너 300ml+크림30ml),183.78328768020052,0.8718432130146916,84.53924924325369,0.8503636112751681,76.67746307654579,0.9101418250927106
PRD_0083,71,로션,일소 데일리 모이스처 소프트닝 로션 150ml,68.69878265859735,0.8304936445701038,25.956500968568065,0.804010621921658,16.344716372834593,0.8626612993892953
